Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Hall_of_Fame,Active,Url,Path
Kwame Brown,2002,2013,F,6-11,270.0,"March 10, 1982",,False,False,https://www.basketball-reference.com/players/b/brownkw01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownkw01.html
Larry Brown,1968,1972,G,5-9,160.0,"September 14, 1940",UNC,True,False,https://www.basketball-reference.com/players/b/brownla01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownla01.html
Leon Brown,1947,1947,F,6-3,190.0,"October 12, 1919",Wyoming,False,False,https://www.basketball-reference.com/players/b/brownle01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownle01.html
Lewis Brown,1981,1981,C,6-11,225.0,"February 19, 1955",UNLV,False,False,https://www.basketball-reference.com/players/b/brownle02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownle02.html
Lorenzo Brown,2014,2019,G,6-5,189.0,"August 26, 1990",NC State,False,False,https://www.basketball-reference.com/players/b/brownlo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownlo01.html
Marcus Brown,1997,2000,G,6-3,185.0,"April 3, 1974",Murray State,False,False,https://www.basketball-reference.com/players/b/brownma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownma01.html
Markel Brown,2015,2018,G,6-3,190.0,"January 29, 1992",Oklahoma State,False,False,https://www.basketball-reference.com/players/b/brownma02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownma02.html
Mike Brown,1987,1997,C-F,6-9,257.0,"July 19, 1963",George Washington,False,False,https://www.basketball-reference.com/players/b/brownmi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownmi01.html
Moses Brown,2020,2024,C,7-2,245.0,"October 13, 1999",UCLA,False,True,https://www.basketball-reference.com/players/b/brownmo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownmo01.html
Myron Brown,1992,1992,G,6-3,180.0,"November 3, 1969",Slippery Rock University of Pennsylvania,False,False,https://www.basketball-reference.com/players/b/brownmy01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownmy01.html
P.J. Brown,1994,2008,F-C,6-11,225.0,"October 14, 1969",Louisiana Tech,False,False,https://www.basketball-reference.com/players/b/brownpj01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownpj01.html
Randy Brown,1992,2003,G,6-2,190.0,"May 22, 1968","Houston, New Mexico State",False,False,https://www.basketball-reference.com/players/b/brownra02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownra02.html
Raymond Brown,1990,1990,F,6-8,220.0,"July 5, 1965","Mississippi State, Idaho",False,False,https://www.basketball-reference.com/players/b/brownra01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownra01.html
Rickey Brown,1981,1985,C-F,6-10,215.0,"August 20, 1958",Mississippi State,False,False,https://www.basketball-reference.com/players/b/brownri01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownri01.html
Roger Brown,1968,1975,F-G,6-5,205.0,"May 22, 1942",Dayton,True,False,https://www.basketball-reference.com/players/b/brownro01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownro01.html
Roger Brown,1973,1980,C,6-11,225.0,"February 23, 1950",Kansas,False,False,https://www.basketball-reference.com/players/b/brownro02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownro02.html
Shannon Brown,2007,2015,G,6-4,205.0,"November 29, 1985",Michigan State,False,False,https://www.basketball-reference.com/players/b/brownsh01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownsh01.html
Stan Brown,1948,1952,F,6-3,200.0,"June 27, 1929",,False,False,https://www.basketball-reference.com/players/b/brownst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownst01.html
Sterling Brown,2018,2023,G,6-5,219.0,"February 10, 1995",SMU,False,True,https://www.basketball-reference.com/players/b/brownst02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownst02.html
Tierre Brown,2002,2005,G,6-2,189.0,"June 3, 1979",McNeese State University,False,False,https://www.basketball-reference.com/players/b/brownti01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownti01.html
Tony Brown,1985,1992,F-G,6-6,185.0,"July 29, 1960",Arkansas,False,False,https://www.basketball-reference.com/players/b/brownto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownto01.html
Troy Brown Jr.,2019,2024,G-F,6-6,215.0,"July 28, 1999",Oregon,False,True,https://www.basketball-reference.com/players/b/browntr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{browntr01.html
Jim Browne,1949,1950,C,6-10,235.0,"January 1, 1930",,False,False,https://www.basketball-reference.com/players/b/brownji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brownji01.html
Stanley Brundy,1990,1990,F,6-6,210.0,"November 13, 1967",DePaul,False,False,https://www.basketball-reference.com/players/b/brundst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brundst01.html
Brian Brunkhorst,1969,1969,F,6-6,208.0,"June 12, 1945",Marquette,False,False,https://www.basketball-reference.com/players/b/brunkbr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brunkbr01.html
George Bruns,1973,1973,G,6-0,160.0,"August 30, 1946",Manhattan College,False,False,https://www.basketball-reference.com/players/b/brunsge01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brunsge01.html
Jalen Brunson,2019,2024,G,6-2,190.0,"August 31, 1996",Villanova,False,True,https://www.basketball-reference.com/players/b/brunsja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brunsja01.html
Rick Brunson,1998,2006,G,6-4,190.0,"June 14, 1972",Temple,False,False,https://www.basketball-reference.com/players/b/brunsri01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brunsri01.html
Nicolás Brussino,2017,2018,G-F,6-7,195.0,"March 2, 1993",,False,False,https://www.basketball-reference.com/players/b/brussni01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brussni01.html
Elijah Bryant,2021,2021,G,6-5,210.0,"April 19, 1995","Elon University, BYU",False,False,https://www.basketball-reference.com/players/b/bryanel01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bryanel01.html
Em Bryant,1965,1972,G,6-1,175.0,"November 4, 1938",DePaul,False,False,https://www.basketball-reference.com/players/b/bryanem01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bryanem01.html
Joe Bryant,1976,1983,F-C,6-9,185.0,"October 19, 1954",La Salle,False,False,https://www.basketball-reference.com/players/b/bryanjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bryanjo01.html
Kobe Bryant,1997,2016,G-F,6-6,212.0,"August 23, 1978",,True,False,https://www.basketball-reference.com/players/b/bryanko01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bryanko01.html
Mark Bryant,1989,2003,F-C,6-9,245.0,"April 25, 1965",Seton Hall,False,False,https://www.basketball-reference.com/players/b/bryanma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bryanma01.html
Thomas Bryant,2018,2024,C,6-10,248.0,"July 31, 1997",Indiana,False,True,https://www.basketball-reference.com/players/b/bryanth01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bryanth01.html
Wallace Bryant,1984,1986,C,7-0,245.0,"July 14, 1959",San Francisco,False,False,https://www.basketball-reference.com/players/b/bryanwa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bryanwa01.html
Torgeir Bryn,1990,1990,C,6-9,250.0,"August 8, 1964",Texas State University,False,False,https://www.basketball-reference.com/players/b/brynto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{brynto01.html
George Bucci,1976,1976,G,6-3,200.0,"July 9, 1953",Manhattan College,False,False,https://www.basketball-reference.com/players/b/buccige01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buccige01.html
Shaq Buchanan,2022,2022,G,6-3,190.0,"January 30, 1997","Northeast Mississippi Community College, Murray State",False,True,https://www.basketball-reference.com/players/b/buchash01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buchash01.html
Joe Buckhalter,1962,1963,F,6-7,210.0,"August 1, 1937",Tennessee State,False,False,https://www.basketball-reference.com/players/b/buckhjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buckhjo01.html
Steve Bucknall,1990,1990,G,6-6,215.0,"March 17, 1966",UNC,False,False,https://www.basketball-reference.com/players/b/bucknst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bucknst01.html
Cleveland Buckner,1962,1963,F-C,6-9,210.0,"August 17, 1938",Jackson State University,False,False,https://www.basketball-reference.com/players/b/buckncl01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buckncl01.html
Greg Buckner,2000,2009,G,6-4,210.0,"September 16, 1976",Clemson,False,False,https://www.basketball-reference.com/players/b/buckngr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buckngr01.html
Quinn Buckner,1977,1986,G,6-3,190.0,"August 20, 1954",Indiana,False,False,https://www.basketball-reference.com/players/b/bucknqu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bucknqu01.html
Dave Budd,1961,1965,F,6-6,205.0,"October 28, 1938",Wake Forest,False,False,https://www.basketball-reference.com/players/b/buddda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buddda01.html
Chase Budinger,2010,2016,F,6-7,209.0,"May 22, 1988",Arizona,False,False,https://www.basketball-reference.com/players/b/budinch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{budinch01.html
Walt Budko,1949,1952,F-C,6-5,220.0,"July 30, 1925",Columbia University,False,False,https://www.basketball-reference.com/players/b/budkowa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{budkowa01.html
Jud Buechler,1991,2002,F-G,6-6,220.0,"June 19, 1968",Arizona,False,False,https://www.basketball-reference.com/players/b/buechju01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buechju01.html
Kobe Bufkin,2024,2024,G,6-4,195.0,"September 21, 2003",Michigan,False,True,https://www.basketball-reference.com/players/b/bufkiko01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bufkiko01.html
Rodney Buford,2000,2005,G-F,6-5,189.0,"November 2, 1977",Creighton,False,False,https://www.basketball-reference.com/players/b/buforro01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buforro01.html
Matt Bullard,1991,2002,F,6-10,215.0,"June 5, 1967","Colorado, Iowa",False,False,https://www.basketball-reference.com/players/b/bullama01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bullama01.html
Reggie Bullock,2014,2024,G-F,6-6,205.0,"March 16, 1991",UNC,False,True,https://www.basketball-reference.com/players/b/bullore01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bullore01.html
Larry Bunce,1968,1969,C,7-0,240.0,"July 29, 1945","Texas-El Paso, Riverside Community College, Utah State University",False,False,https://www.basketball-reference.com/players/b/buncela01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buncela01.html
Greg Bunch,1979,1979,F,6-6,190.0,"May 15, 1956",Cal State Fullerton,False,False,https://www.basketball-reference.com/players/b/bunchgr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bunchgr01.html
Dick Bunt,1953,1953,G,6-0,170.0,"July 13, 1930",NYU,False,False,https://www.basketball-reference.com/players/b/buntdi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buntdi01.html
Bill Buntin,1966,1966,C-F,6-7,250.0,"May 5, 1942",Michigan,False,False,https://www.basketball-reference.com/players/b/buntibi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buntibi01.html
Bill Bunting,1970,1972,F-C,6-8,200.0,"August 26, 1947",UNC,False,False,https://www.basketball-reference.com/players/b/buntibi02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buntibi02.html
Ticky Burden,1976,1978,G,6-2,185.0,"February 28, 1953",Utah,False,False,https://www.basketball-reference.com/players/b/burdeti01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burdeti01.html
Pat Burke,2003,2007,C-F,6-11,250.0,"December 14, 1973",Auburn,False,False,https://www.basketball-reference.com/players/b/burkepa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burkepa01.html
Trey Burke,2014,2022,G,6-0,185.0,"November 12, 1992",Michigan,False,True,https://www.basketball-reference.com/players/b/burketr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burketr01.html
Roger Burkman,1982,1982,G,6-5,175.0,"May 22, 1958",Louisville,False,False,https://www.basketball-reference.com/players/b/burkmro01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burkmro01.html
Alec Burks,2012,2024,G,6-6,214.0,"July 20, 1991",Colorado,False,True,https://www.basketball-reference.com/players/b/burksal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burksal01.html
Antonio Burks,2005,2006,G,6-1,200.0,"February 25, 1980",Memphis,False,False,https://www.basketball-reference.com/players/b/burksan01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burksan01.html
Kevin Burleson,2006,2006,G,6-3,205.0,"September 4, 1979",Minnesota,False,False,https://www.basketball-reference.com/players/b/burleke01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burleke01.html
Tom Burleson,1975,1981,C,7-2,225.0,"February 24, 1952",NC State,False,False,https://www.basketball-reference.com/players/b/burleto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burleto01.html
Jack Burmaster,1950,1950,G,6-3,190.0,"December 23, 1926",Illinois,False,False,https://www.basketball-reference.com/players/b/burmaja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burmaja01.html
David Burns,1982,1982,G,6-2,180.0,"July 3, 1958",Saint Louis,False,False,https://www.basketball-reference.com/players/b/burnsda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burnsda01.html
Evers Burns,1994,1994,F,6-8,260.0,"August 24, 1971",Maryland,False,False,https://www.basketball-reference.com/players/b/burnsev01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burnsev01.html
Jim Burns,1968,1968,G,6-3,195.0,"September 21, 1945",Northwestern,False,False,https://www.basketball-reference.com/players/b/burnsji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burnsji01.html
Scott Burrell,1994,2001,G-F,6-7,218.0,"January 12, 1971",UConn,False,False,https://www.basketball-reference.com/players/b/burresc01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burresc01.html
Art Burris,1951,1952,F,6-5,220.0,"April 7, 1924",Tennessee,False,False,https://www.basketball-reference.com/players/b/burriar01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burriar01.html
Junior Burrough,1996,1996,F,6-8,242.0,"January 18, 1973",Virginia,False,False,https://www.basketball-reference.com/players/b/burroju01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burroju01.html
Bob Burrow,1957,1958,C-F,6-7,228.0,"June 29, 1934",Kentucky,False,False,https://www.basketball-reference.com/players/b/burrobo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burrobo01.html
Deonte Burton,2019,2023,G,6-4,240.0,"January 31, 1994","Marquette, Iowa State",False,True,https://www.basketball-reference.com/players/b/burtode02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burtode02.html
Ed Burton,1962,1965,F,6-6,225.0,"August 13, 1939",Michigan State,False,False,https://www.basketball-reference.com/players/b/burtoed01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burtoed01.html
Willie Burton,1991,1999,F-G,6-8,210.0,"May 26, 1968",Minnesota,False,False,https://www.basketball-reference.com/players/b/burtowi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burtowi01.html
Steve Burtt,1985,1993,G,6-2,185.0,"November 5, 1962",Iona College,False,False,https://www.basketball-reference.com/players/b/burttst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{burttst01.html
Don Buse,1973,1985,G,6-4,190.0,"August 10, 1950",University of Evansville,False,False,https://www.basketball-reference.com/players/b/busedo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{busedo01.html
David Bustion,1973,1973,F,6-8,215.0,"August 30, 1949","Northeastern Junior College, Denver",False,False,https://www.basketball-reference.com/players/b/bustida01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bustida01.html
Donnie Butcher,1962,1966,G,6-2,200.0,"February 8, 1936",Pikeville College,False,False,https://www.basketball-reference.com/players/b/butchdo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butchdo01.html
Al Butler,1962,1965,G,6-2,175.0,"July 9, 1938",Niagara University,False,False,https://www.basketball-reference.com/players/b/butleal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butleal01.html
Caron Butler,2003,2016,F,6-7,228.0,"March 13, 1980",UConn,False,False,https://www.basketball-reference.com/players/b/butleca01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butleca01.html
Greg Butler,1989,1991,C,6-11,240.0,"March 11, 1966",Stanford,False,False,https://www.basketball-reference.com/players/b/butlegr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butlegr01.html
Jackie Butler,2005,2007,F-C,6-10,250.0,"March 10, 1985",,False,False,https://www.basketball-reference.com/players/b/butleja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butleja01.html
Jared Butler,2022,2024,G,6-3,195.0,"August 25, 2000",Baylor,False,True,https://www.basketball-reference.com/players/b/butleja02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butleja02.html
Jimmy Butler,2012,2024,F-G,6-7,230.0,"September 14, 1989",Marquette,False,True,https://www.basketball-reference.com/players/b/butleji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butleji01.html
John Butler,2023,2023,C,7-0,175.0,"December 4, 2002",Florida State,False,True,https://www.basketball-reference.com/players/b/butlejo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butlejo01.html
Mike Butler,1969,1972,G,6-2,170.0,"October 22, 1946",Memphis,False,False,https://www.basketball-reference.com/players/b/butlemi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butlemi01.html
Mitchell Butler,1994,2004,G-F,6-5,210.0,"December 15, 1970",UCLA,False,False,https://www.basketball-reference.com/players/b/butlemi02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butlemi02.html
Rasual Butler,2003,2016,F-G,6-7,215.0,"May 23, 1979",La Salle,False,False,https://www.basketball-reference.com/players/b/butlera01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{butlera01.html
Dwight Buycks,2014,2018,G,6-3,190.0,"March 6, 1989",Marquette,False,False,https://www.basketball-reference.com/players/b/buyckdw01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{buyckdw01.html
Derrick Byars,2012,2012,F,6-7,220.0,"April 25, 1984","Virginia, Vanderbilt",False,False,https://www.basketball-reference.com/players/b/byarsde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{byarsde01.html
Andrew Bynum,2006,2014,C,7-0,285.0,"October 27, 1987",,False,False,https://www.basketball-reference.com/players/b/bynuman01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bynuman01.html
Will Bynum,2006,2015,G,6-0,185.0,"January 4, 1983","Arizona, Georgia Tech",False,False,https://www.basketball-reference.com/players/b/bynumwi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bynumwi01.html
Walt Byrd,1970,1970,F,6-7,205.0,,Temple,False,False,https://www.basketball-reference.com/players/b/byrdwa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{byrdwa01.html
Marty Byrnes,1979,1983,F,6-7,215.0,"April 30, 1956",Syracuse,False,False,https://www.basketball-reference.com/players/b/byrnema01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{byrnema01.html
Tommy Byrnes,1947,1951,F-G,6-3,175.0,"February 19, 1923",Seton Hall,False,False,https://www.basketball-reference.com/players/b/byrneto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{byrneto01.html
Michael Bytzura,1947,1947,F,6-1,170.0,"June 18, 1922",Long Island University,False,False,https://www.basketball-reference.com/players/b/bytzumi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{bytzumi01.html
Žarko Čabarkapa,2004,2006,F,6-11,235.0,"May 21, 1981",,False,False,https://www.basketball-reference.com/players/c/cabarza01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cabarza01.html
Barney Cable,1959,1964,F,6-7,175.0,"July 29, 1935",Bradley,False,False,https://www.basketball-reference.com/players/c/cableba01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cableba01.html
Bruno Caboclo,2015,2021,F-C,6-9,218.0,"September 21, 1995",,False,True,https://www.basketball-reference.com/players/c/cabocbr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cabocbr01.html
Devontae Cacok,2020,2022,F,6-7,240.0,"October 8, 1996",UNC Wilmington,False,True,https://www.basketball-reference.com/players/c/cacokde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cacokde01.html
Jason Caffey,1996,2003,F,6-8,255.0,"June 12, 1973",Alabama,False,False,https://www.basketball-reference.com/players/c/caffeja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{caffeja01.html
Michael Cage,1985,2000,F-C,6-9,224.0,"January 28, 1962",San Diego State,False,False,https://www.basketball-reference.com/players/c/cagemi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cagemi01.html
Jamal Cain,2023,2024,F,6-7,191.0,"March 20, 1999","Marquette, Oakland",False,True,https://www.basketball-reference.com/players/c/cainja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{cainja01.html
Gerry Calabrese,1951,1952,G,6-1,175.0,"February 4, 1925",St. John's,False,False,https://www.basketball-reference.com/players/c/calabge01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{calabge01.html
Nick Calathes,2014,2015,G,6-6,213.0,"February 7, 1989",Florida,False,False,https://www.basketball-reference.com/players/c/calatni01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{calatni01.html
José Calderón,2006,2019,G,6-3,200.0,"September 28, 1981",,False,False,https://www.basketball-reference.com/players/c/caldejo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{c{caldejo01.html
